Date,MV,SV,VAR,DIA
2017-03-06,3649996.2085759514,3647662.99001686,3864967.5719968765,2793439.1252166955
2017-03-07,3650774.282913476,3648467.6158381538,3864806.038211656,2789305.24069876
2017-03-08,3641583.1228592666,3639211.2801323817,3852972.6963240467,2781837.57834378
2017-03-09,3640564.8400452733,3638251.2221753625,3849282.918860392,2782637.68502467
2017-03-10,3656462.364478478,3654247.867427842,3869937.436891169,2789038.5384717965
2017-03-13,3659694.6990432055,3657448.045361655,3872968.0314297364,2786238.1650886787
2017-03-14,3648138.5687054954,3645879.816083577,3858329.748488141,2780904.120549407
2017-03-15,3682769.2960753688,3680593.304643598,3897830.331272376,2794772.636351514
2017-03-16,3674755.455189045,3672522.372592652,3888678.4646678236,2792905.7207627688
2017-03-17,3668796.4997638813,3666417.5982124093,3881564.861148614,2785171.3561808243
2017-03-20,3659235.154519407,3656909.555464883,3874689.5014055623,2784504.6006134152
2017-03-21,3634957.9855590323,3632737.5446898406,3845785.5723175877,2751700.226696893
2017-03-22,3633757.136064639,3631443.3999003656,3845438.005477325,2752500.3333777837
2017-03-23,3616242.987596527,3613815.1939197737,3826410.679776092,2751166.822242966
2017-03-24,3608781.1814395394,3606387.905119768,3819006.491995671,2743699.1598879853
2017-03-27,3605941.5223085913,3603579.8958004783,3814650.11778973,2736764.9019869315
2017-03-28,3622031.8029975626,3619651.384164846,3832521.789279717,2757034.271236165
2017-03-29,3600784.019648513,3598317.0271732793,3811026.021799392,2751166.822242966
2017-03-30,3618804.924595316,3616406.593850176,3830280.526003794,2759834.644619283
2017-03-31,3606754.8269989914,3604352.1400035573,3817766.41657966,2751566.875583411
2017-04-03,3618653.096658424,3616328.3918426777,3829152.5781409834,2750366.7155620754
2017-04-04,3622467.9050161177,3620094.471283698,3834669.382325826,2755700.760101347
2017-04-05,3626727.8846563743,3624403.805285361,3838854.1113848584,2750500.066675557
2017-04-06,3628789.1349656763,3626433.0632797894,3843843.781738563,2753033.737831711
2017-04-07,3638045.9450818743,3635694.9036119757,3851634.786293047,2752100.2800373384
2017-04-10,3631470.5070286077,3629064.1850052616,3847927.677434374,2752233.6311508203
2017-04-11,3643367.189409008,3640975.4799637236,3857858.1095563164,2751433.5244699297
2017-04-12,3632706.615296099,3630451.253910519,3843421.002008827,2742632.350980131
2017-04-13,3616877.511475564,3614627.8669721,3824182.0950244134,2725296.706227497
2017-04-17,3656624.6344329896,3654332.074629975,3865859.0897375713,2749299.9066542205
2017-04-18,3661373.1442804863,3659107.239517201,3872188.2727649915,2734764.635284705
2017-04-19,3665583.473808572,3663366.568060136,3873357.6372046457,2718362.448326444
2017-04-20,3697987.277709322,3695773.608877175,3909133.888223965,2743032.404320576
2017-04-21,3697271.185210788,3694953.1453709607,3909507.4024994164,2737031.6042138953
2017-04-24,3729076.865402996,3726686.5791375656,3947869.911241426,2765435.391385518
2017-04-25,3806541.9181565098,3804265.203608124,4029688.239892264,2796106.147486332
2017-04-26,3797777.5714764087,3795486.4543273496,4024024.883029595,2793305.774103214
2017-04-27,3801974.9534967374,3799551.154987626,4026695.3541927547,2794505.9341245503
2017-04-28,3801861.099424469,3799399.707707707,4025344.475796147,2788105.080677424
2017-05-01,3798582.990430071,3796274.2162593016,4022291.8143016137,2785971.462861715
2017-05-02,3799411.794773393,3797026.119006707,4021574.84024146,2788771.8362448327
2017-05-03,3792200.900382211,3789766.567213683,4011512.9536277074,2789971.996266169
2017-05-04,3807504.588188593,3805154.0997863053,4022689.6871390566,2789571.9429257237
2017-05-05,3818122.6009684163,3815686.619816443,4031993.897676893,2797306.307507668
2017-05-08,3826484.5790187055,3823965.5774835222,4037987.1906096623,2799306.5742098945
2017-05-09,3819134.6643387005,3816509.1882912153,4028812.077476132,2795306.040805441
2017-05-10,3809975.7761780326,3807410.8497692333,4023766.2104117647,2793439.1252166955
2017-05-11,3812022.7090739505,3809546.6677072556,4023405.109271203,2790772.10294706
2017-05-12,3804175.134573257,3801627.177846604,4012707.4190287255,2787171.622883051
2017-05-15,3817394.9242924373,3814888.928847192,4027910.492246768,2799439.925323377
2017-05-16,3794636.243312222,3791959.316081376,4004322.516301964,2799706.6275503403
2017-05-17,3771503.2118615704,3769040.9528808505,3975967.4908082443,2753300.4400586747
2017-05-18,3797472.939798922,3795176.334171324,4002829.137170001,2759834.644619283
