"","Date","Close","AA","AAPL","AXP","BA","BAC","C","CAT","CSCO","CVX","DD","DIS","DWDP","GE","GM","GS","HD","HPE","IBM","INTC","JNJ","JPM","KO","KRFT","MCD","MMM","MRK","MSFT","NKE","PFE","PG","T","TRV","UNH","UTX","V","VZ","WBA","WMT","XOM","v.INDU","v.DIA","v.Divisor","AA.1","AAPL.1","AXP.1","BA.1","BAC.1","C.1","CAT.1","CSCO.1","CVX.1","DD.1","DIS.1","DWDP.1","GE.1","GM.1","GS.1","HD.1","HPE.1","IBM.1","INTC.1","JNJ.1","JPM.1","KO.1","KRFT.1","MCD.1","MMM.1","MRK.1","MSFT.1","NKE.1","PFE.1","PG.1","T.1","TRV.1","UNH.1","UTX.1","V.1","VZ.1","WBA.1","WMT.1","XOM.1","v.posrows"
"341",2010-08-04,112.970001,NA,262.98,44.11,69.25,14.19,4.14,71.12,24.14,79.02,42.41,34.83,24.79,16.48,NA,156.41,28.72,NA,131.27,20.73,59.74,41.29,56.55,NA,70.69,88,35.19,25.73,74,16.44,59.55,26.64,50.68,32.91,72.67,72.45,29.4,28.5,51.6,62.72,10680.43,106.7,0.14748072,0,0,44.11,69.25,14.19,0,71.12,24.14,79.02,42.41,34.83,0,16.48,0,0,28.72,0,131.27,20.73,59.74,41.29,56.55,0,70.69,88,35.19,25.73,0,16.44,59.55,26.64,50.68,0,72.67,0,29.4,0,51.6,62.72,27
"342",2010-08-05,112.849998,NA,261.7,43.22,68.71,14.02,4.1,71.96,24.17,79.07,42.48,34.98,25.26,16.52,NA,155.92,28.71,NA,131.83,20.67,59.76,41.27,56.37,NA,70.45,87.72,35.07,25.37,74.06,16.19,59.86,26.74,50.67,33.42,73.2,71.5,29.55,28.19,51.62,62.71,10674.98,106.62,0.14748072,0,0,43.22,68.71,14.02,0,71.96,24.17,79.07,42.48,34.98,0,16.52,0,0,28.71,0,131.83,20.67,59.76,41.27,56.37,0,70.45,87.72,35.07,25.37,0,16.19,59.86,26.74,50.67,0,73.2,0,29.55,0,51.62,62.71,27
"343",2010-08-06,112.389999,NA,260.091,43.5,68.7,13.96,4.06,71.56,24.07,78.73,42.13,35,25.44,16.45,NA,155.18,28.68,NA,130.14,20.65,59.96,40.44,56.75,NA,71.74,87.29,34.98,25.55,73.96,16.24,60.02,26.54,50.27,33.45,72.73,72.14,29.55,28,51.79,61.97,10653.6,106.43,0.14748072,0,0,43.5,68.7,13.96,0,71.56,24.07,78.73,42.13,35,0,16.45,0,0,28.68,0,130.14,20.65,59.96,40.44,56.75,0,71.74,87.29,34.98,25.55,0,16.24,60.02,26.54,50.27,0,72.73,0,29.55,0,51.79,61.97,27
"344",2010-08-09,112.989998,NA,261.75,43.75,68.99,13.91,4.08,72.07,24.77,79.29,42.41,35.16,26,16.38,NA,155.4,28.7,NA,132,20.65,60.05,39.82,57.11,NA,72.92,88.03,35.36,25.61,74.12,16.42,60.38,26.86,50.61,33.49,73.35,74.74,29.86,28.35,52.06,62.45,10698.75,106.86,0.14748072,0,0,43.75,68.99,13.91,0,72.07,24.77,79.29,42.41,35.16,0,16.38,0,0,28.7,0,132,20.65,60.05,39.82,57.11,0,72.92,88.03,35.36,25.61,0,16.42,60.38,26.86,50.61,0,73.35,0,29.86,0,52.06,62.45,27
"345",2010-08-10,112.379997,NA,259.41,44.09,68.62,13.63,4,71.42,24.31,79.04,42.17,35.29,25.99,16.25,NA,153.9,28.24,NA,131.84,19.82,59.43,39.17,56.98,NA,72.84,87.11,35.77,25.07,73.91,16.57,60.78,27.01,49.4,33.33,73.39,75.27,30.02,28.22,52.22,61.93,10644.25,106.4,0.14748072,0,0,44.09,68.62,13.63,0,71.42,24.31,79.04,42.17,35.29,0,16.25,0,0,28.24,0,131.84,19.82,59.43,39.17,56.98,0,72.84,87.11,35.77,25.07,0,16.57,60.78,27.01,49.4,0,73.39,0,30.02,0,52.22,61.93,27
"346",2010-08-11,109.300003,NA,250.19,42.96,65.6,13.19,3.85,68.71,23.73,77.13,40.5,34.22,25.18,15.7,NA,149.25,27.71,NA,129.83,19.425,58.5,37.77,56.04,NA,71.57,84.1,34.89,24.86,72.08,16,60.27,26.55,48.96,31.99,71.27,73.51,29.56,27.73,51.02,60.39,10378.83,103.87,0.14748072,0,0,42.96,65.6,13.19,0,68.71,23.73,77.13,40.5,34.22,0,15.7,0,0,27.71,0,129.83,19.425,58.5,37.77,56.04,0,71.57,84.1,34.89,24.86,0,16,60.27,26.55,48.96,0,71.27,0,29.56,0,51.02,60.39,27
"347",2010-08-12,108.629997,NA,251.79,42.15,64.7,13.063,3.87,67.5,21.36,77.07,40.77,33.99,24.98,15.495,NA,149.42,27.61,NA,128.3,19.45,58.52,37.81,55.69,NA,72.06,84.01,35.04,24.49,71.52,16.2,59.99,26.66,49.63,32.13,70.58,72.98,30.32,28.03,50.43,60.23,10319.95,103.19,0.14748072,0,0,42.15,64.7,13.063,0,67.5,21.36,77.07,40.77,33.99,0,15.495,0,0,27.61,0,128.3,19.45,58.52,37.81,55.69,0,72.06,84.01,35.04,24.49,0,16.2,59.99,26.66,49.63,0,70.58,0,30.32,0,50.43,60.23,27
"348",2010-08-13,108.309998,NA,249.1,41.73,64.84,13.23,3.88,68.01,21.36,77.4,40.32,33.68,25.16,15.38,NA,148.08,27.31,NA,127.87,19.15,58.15,37.5,55.73,NA,71.89,84.01,35,24.4,70.58,16.08,59.82,26.72,50.14,32.03,70.7,72.22,30.03,28.17,50.4,59.91,10303.15,103.09,0.14748072,0,0,41.73,64.84,13.23,0,68.01,21.36,77.4,40.32,33.68,0,15.38,0,0,27.31,0,127.87,19.15,58.15,37.5,55.73,0,71.89,84.01,35,24.4,0,16.08,59.82,26.72,50.14,0,70.7,0,30.03,0,50.4,59.91,27
"349",2010-08-16,108.260002,NA,247.64,41.54,64.4,13.19,3.87,68.49,21.91,77.71,40.39,33.66,25.18,15.46,NA,147.76,27.38,NA,127.77,19.47,58.01,37.69,55.88,NA,71.79,83.43,34.97,24.5,71.06,16.03,59.77,26.65,49.91,31.9,70.35,72.83,29.96,28.19,50.41,59.88,10302.01,103.02,0.14748072,0,0,41.54,64.4,13.19,0,68.49,21.91,77.71,40.39,33.66,0,15.46,0,0,27.38,0,127.77,19.47,58.01,37.69,55.88,0,71.79,83.43,34.97,24.5,0,16.03,59.77,26.65,49.91,0,70.35,0,29.96,0,50.41,59.88,27
"350",2010-08-17,109.589996,NA,251.97,41.74,65.99,13.21,3.85,69.74,22.05,77.77,41.42,33.76,25.5,15.58,NA,148.59,28.31,NA,128.45,19.53,59.22,37.48,56.12,NA,73.22,84.09,35.54,24.71,71.71,16.27,60.29,26.97,49.91,32.35,70.51,73.36,30.17,28.22,51.02,60.82,10405.85,104.07,0.14748072,0,0,41.74,65.99,13.21,0,69.74,22.05,77.77,41.42,33.76,0,15.58,0,0,28.31,0,128.45,19.53,59.22,37.48,56.12,0,73.22,84.09,35.54,24.71,0,16.27,60.29,26.97,49.91,0,70.51,0,30.17,0,51.02,60.82,27
